EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,Education,EducationField,Location,MonthlyIncome,PercentSalaryHike,StockOptionLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,DistanceFromHome,BusinessTravel,OverTime,TrainingTimesLastYear,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Attrition,SurveyFeedback
10001,24,Male,Divorced,Sales,Account Manager,3,Computer Science,Mumbai,165933,16,0,12,8,6,6,15,3,38,Travel_Rarely,No,6,3,4,1,2,4,3,No,"Average experience overall, some good and some bad aspects"
10002,45,Female,Single,Marketing,Brand Manager,1,Computer Science,Mumbai,170197,21,1,3,9,7,7,26,5,29,Travel_Rarely,No,4,3,3,3,3,2,1,No,Management is supportive and salary is competitive and fair
10003,48,Female,Married,Finance,Tax Analyst,5,HR Management,Mumbai,155441,16,0,7,1,0,5,10,3,37,Travel_Frequently,No,6,3,4,1,4,3,1,No,"Average experience overall, some good and some bad aspects"
10004,57,Female,Single,Marketing,Digital Marketer,5,Marketing,Bengaluru,84393,14,0,3,6,3,1,24,2,35,Travel_Rarely,No,3,2,3,2,1,2,4,Yes,"Average experience overall, some good and some bad aspects"
10005,55,Female,Married,Marketing,Digital Marketer,4,Engineering,Bengaluru,172743,23,3,17,2,9,0,29,2,20,Non-Travel,Yes,5,2,4,4,2,2,2,Yes,Poor management decisions causing frustration across the team
10006,50,Male,Married,HR,Recruiter,2,Finance,Pune,221472,19,2,6,9,9,2,5,4,35,Travel_Rarely,No,0,1,4,4,3,2,3,Yes,I feel undervalued and underpaid compared to industry standards
10007,45,Male,Single,Finance,Auditor,5,Computer Science,Bengaluru,79512,17,2,10,7,3,8,24,3,35,Travel_Frequently,No,5,4,3,3,3,2,4,No,"Career growth is excellent here, very satisfied with my job"
10008,45,Male,Married,Finance,Senior Accountant,3,Finance,Chennai,113026,23,0,3,3,8,6,19,9,20,Travel_Rarely,No,6,2,4,1,4,4,3,Yes,Job is fine but I am looking for more interesting challenges
10009,25,Female,Married,Finance,Senior Accountant,2,Engineering,Bengaluru,90656,11,3,12,3,2,1,9,7,2,Travel_Rarely,Yes,1,2,1,1,1,1,2,Yes,Job is fine but I am looking for more interesting challenges
10010,24,Female,Single,Marketing,Content Writer,2,Finance,Bengaluru,231831,11,1,8,8,9,0,26,6,52,Travel_Frequently,Yes,5,4,2,3,3,3,4,Yes,Job is fine but I am looking for more interesting challenges
10011,55,Male,Married,Sales,Sales Lead,5,Marketing,Bengaluru,112686,14,1,8,2,9,1,25,8,58,Travel_Rarely,No,6,4,4,3,2,1,2,No,"Very happy with my role, the team is fantastic and supportive"
10012,44,Female,Single,Finance,Financial Analyst,5,HR Management,Bhubaneswar,190210,24,2,18,6,0,2,14,9,59,Non-Travel,Yes,5,1,4,3,2,4,4,Yes,Poor management decisions causing frustration across the team
10013,44,Female,Married,Operations,Supply Chain Analyst,5,Finance,Pune,199492,10,2,2,0,4,5,6,3,18,Non-Travel,No,6,1,4,3,4,1,4,No,"I love working here, great team and management support"
10014,26,Male,Married,Marketing,Content Writer,3,Business Administration,Chennai,214161,15,1,11,6,6,8,32,7,30,Travel_Rarely,No,0,3,2,4,1,1,4,Yes,Very high pressure with little or no recognition for work done
10015,52,Male,Married,HR,L&D Specialist,2,HR Management,Bengaluru,30489,13,1,10,9,3,7,26,9,42,Non-Travel,No,5,1,3,3,3,4,4,Yes,Work is okay but salary could definitely be better though
10016,27,Female,Single,Sales,Sales Executive,4,Engineering,Pune,74789,15,3,19,1,8,9,15,1,56,Travel_Frequently,Yes,3,1,2,1,4,1,1,Yes,Work is okay but salary could definitely be better though
10017,31,Female,Married,Operations,Supply Chain Analyst,3,HR Management,Hyderabad,84925,16,1,10,5,5,8,31,9,58,Travel_Rarely,No,0,4,4,2,1,3,3,No,"Very happy with my role, the team is fantastic and supportive"
10018,28,Female,Married,Operations,Supply Chain Analyst,1,Finance,Bhubaneswar,64703,22,3,16,8,5,7,19,7,53,Travel_Rarely,No,2,2,3,1,1,4,1,Yes,Management doesnt listen and salary is way below market rate
10019,42,Male,Married,HR,HR Business Partner,5,Finance,Bengaluru,233558,12,2,13,5,2,6,14,4,29,Travel_Rarely,No,2,3,4,3,3,3,1,No,Work is okay but salary could definitely be better though
10020,41,Male,Married,Sales,Sales Lead,2,Business Administration,Chennai,91625,20,1,15,2,9,5,11,6,39,Travel_Rarely,No,5,1,3,4,4,1,1,Yes,Excessive workload with no work life balance whatsoever here
10021,24,Male,Married,Marketing,Marketing Manager,3,Computer Science,Bhubaneswar,122535,22,2,9,0,9,7,27,6,59,Travel_Rarely,No,5,4,4,3,4,2,4,No,"It is an okay place to work, nothing exceptional about it"
10022,43,Male,Single,Technology,DevOps Engineer,1,Business Administration,Chennai,204300,17,0,3,3,4,5,2,6,52,Non-Travel,No,3,3,4,2,4,2,4,No,"Average experience overall, some good and some bad aspects"
10023,25,Male,Single,Sales,Sales Manager,3,Finance,Bhubaneswar,18051,16,0,9,3,9,1,22,2,58,Travel_Rarely,Yes,6,3,3,3,4,4,2,Yes,Management doesnt listen and salary is way below market rate
10024,49,Female,Single,HR,HR Business Partner,3,HR Management,Hyderabad,184162,22,0,19,7,5,8,2,5,22,Travel_Frequently,No,6,4,1,2,1,2,3,Yes,"It is an okay place to work, nothing exceptional about it"
10025,33,Female,Single,Operations,Process Analyst,4,Business Administration,Pune,43805,10,1,11,9,3,8,20,7,29,Travel_Rarely,No,4,1,2,3,4,2,2,Yes,I feel undervalued and underpaid compared to industry standards
10026,57,Female,Married,Marketing,Digital Marketer,4,Business Administration,Bhubaneswar,109978,15,2,8,9,2,2,17,6,46,Travel_Rarely,Yes,0,1,3,4,4,2,2,Yes,"Too much overtime, work life balance is completely terrible"
10027,26,Male,Single,Sales,BD Executive,3,Computer Science,Mumbai,59557,16,1,14,6,4,8,4,3,10,Non-Travel,No,3,1,2,1,3,4,3,Yes,Work is okay but salary could definitely be better though
10028,34,Male,Single,Technology,QA Engineer,1,Finance,Hyderabad,148627,23,2,8,9,6,1,14,5,20,Travel_Frequently,Yes,5,1,1,2,2,3,3,Yes,"No growth at all, stuck in same role for many years now"
10029,44,Male,Single,Technology,DevOps Engineer,2,Finance,Mumbai,65241,20,3,6,6,5,2,7,8,16,Travel_Frequently,Yes,5,3,1,1,1,2,2,Yes,Poor management decisions causing frustration across the team
10030,51,Female,Single,Finance,Auditor,2,Engineering,Hyderabad,224375,24,1,11,6,1,5,15,5,6,Travel_Rarely,No,5,2,3,3,3,4,2,No,"Very happy with my role, the team is fantastic and supportive"
10031,46,Male,Single,Finance,Auditor,5,Computer Science,Mumbai,142838,13,0,19,1,0,3,30,3,17,Travel_Rarely,No,5,3,1,1,3,3,2,No,Great work life balance and very interesting projects daily
10032,48,Male,Single,HR,L&D Specialist,5,Engineering,Mumbai,80994,23,3,13,8,4,7,16,9,6,Travel_Rarely,Yes,1,3,1,4,3,4,4,Yes,"Average experience overall, some good and some bad aspects"
10033,35,Female,Married,Sales,BD Executive,2,Engineering,Chennai,129005,11,2,15,5,4,0,2,3,22,Travel_Rarely,No,5,4,4,4,1,2,3,No,Management is supportive and salary is competitive and fair
10034,57,Male,Married,Sales,Sales Executive,3,Engineering,Bhubaneswar,31066,19,1,18,1,5,5,19,2,18,Travel_Frequently,Yes,5,3,4,1,2,2,3,Yes,"No growth at all, stuck in same role for many years now"
10035,37,Female,Single,Operations,Operations Manager,3,Marketing,Bhubaneswar,150793,18,2,2,0,2,1,1,6,32,Non-Travel,Yes,1,1,1,1,1,1,1,Yes,Management doesnt listen and salary is way below market rate
10036,43,Male,Married,Operations,Supply Chain Analyst,4,Engineering,Hyderabad,92982,16,2,10,0,0,5,31,8,28,Travel_Rarely,Yes,4,4,4,4,4,1,4,Yes,Poor management decisions causing frustration across the team
10037,42,Male,Single,Operations,Operations Manager,4,Business Administration,Pune,21304,10,1,19,0,3,0,4,6,42,Non-Travel,Yes,6,4,1,2,2,1,4,Yes,"Too much overtime, work life balance is completely terrible"
10038,42,Female,Single,Finance,Auditor,5,HR Management,Chennai,57967,17,1,18,3,3,1,27,1,10,Travel_Rarely,Yes,2,4,4,2,1,3,3,Yes,Job is fine but I am looking for more interesting challenges
10039,29,Female,Single,Sales,Sales Executive,2,Business Administration,Bhubaneswar,246296,24,2,7,3,9,8,25,8,41,Travel_Rarely,No,5,4,1,4,1,4,4,Yes,Very high pressure with little or no recognition for work done
10040,37,Female,Married,Sales,Sales Lead,3,Business Administration,Bhubaneswar,93763,12,2,19,8,1,5,22,1,22,Non-Travel,No,6,4,1,4,4,3,2,No,"I love working here, great team and management support"
10041,52,Female,Married,Technology,Junior Developer,2,Finance,Chennai,55462,13,3,7,0,7,7,10,9,28,Travel_Rarely,No,5,1,2,2,1,1,3,Yes,"Average experience overall, some good and some bad aspects"
10042,31,Female,Single,Finance,Auditor,1,Marketing,Bengaluru,135356,21,0,2,2,5,6,33,8,15,Non-Travel,No,3,2,1,1,2,1,3,Yes,Management doesnt listen and salary is way below market rate
10043,53,Female,Single,Marketing,SEO Analyst,2,Engineering,Chennai,86834,14,2,9,2,2,8,30,6,43,Travel_Rarely,No,0,2,2,1,3,2,4,Yes,"No growth at all, stuck in same role for many years now"
10044,55,Male,Divorced,Finance,Senior Accountant,1,Finance,Bhubaneswar,126023,10,0,12,7,0,8,30,2,29,Non-Travel,Yes,3,4,3,3,1,3,3,Yes,Poor management decisions causing frustration across the team
10045,30,Male,Single,Marketing,Brand Manager,4,Computer Science,Pune,249522,24,3,8,1,2,3,16,9,7,Travel_Rarely,Yes,5,2,1,2,1,2,4,Yes,"Too much overtime, work life balance is completely terrible"
